Trial,EncodingCond,SceneOrFaceLeft,FaceStim,SceneStim,StudyStimulus_Duration,Fixation_Duration,Run
1,II,FaceLeft,OtherMaleOA11.png,A_luggage.jpg,4000,3000,1
2,II,SceneLeft,Wmale20-1neutral.png,A_patio.jpg,4000,2500,1
3,IC,,OtherFemaleOA4.png,A_dunes.jpg,4000,2000,1
4,II,FaceLeft,Wmale20-4neutral.png,A_palmtree.jpg,4000,4000,1
5,IC,,0002YMW.png,A_mountains.jpg,4000,3500,1
6,IC,,OtherMaleOA7.png,A_church.jpg,4000,2000,1
7,II,SceneLeft,WmaleOA10.png,A_vinyard.jpg,4000,2500,1
8,IC,,bfemale19-3neutral.png,A_stonehut.jpg,4000,3000,1
9,IC,,Wfemale25neutral.png,A_lobby.jpg,4000,3500,1
10,IC,,0030YMW.png,B_church.jpg,4000,2000,1
11,II,FaceLeft,WMaleOA15.png,A_canyon.jpg,4000,4000,1
12,II,SceneLeft,OtherMaleOA13.png,A_hallway.jpg,4000,2500,1
13,II,SceneLeft,OtherFemaleOA19.png,A_stairwell.jpg,4000,6000,1
14,IC,,WmaleOA2.png,A_clocktower.jpg,4000,3000,1
15,IC,,Afemale19neutral.png,A_plain.jpg,4000,3000,1
16,IC,,WFemaleOA5.png,A_donkeys.jpg,4000,4000,1
17,II,FaceLeft,Bfemale37neutrl.png,A_supercomputer.jpg,4000,3500,1
18,IC,,OtherFemaleOA3.png,A_cablecar.jpg,4000,6000,1
19,IC,,OtherFemaleOA6.png,A_lake.jpg,4000,6000,1
20,II,FaceLeft,Bmale41neutral.png,A_boats.jpg,4000,3500,1
21,IC,,WmaleOA18.png,B_forest.jpg,4000,2500,1
22,II,SceneLeft,0074YMW.png,A_japantable.jpg,4000,2000,1
23,II,SceneLeft,OtherFemaleOA14.png,A_mansion.jpg,4000,6000,1
24,IC,,0247YAM.png,A_banquet.jpg,4000,2500,1
25,II,FaceLeft,Wfemale23-6neutral.png,A_castle.jpg,4000,3000,1
26,II,SceneLeft,OtherFemaleOA13.png,A_forest.jpg,4000,4000,1
27,IC,,Bfemale19-2neutral.png,B_castle.jpg,4000,3000,1
28,IC,,WFemaleOA6.png,A_solarpanel.jpg,4000,4000,1
29,II,FaceLeft,Wfemale25-4neutral.png,B_beach.jpg,4000,2000,1
30,IC,,WmaleOA9.png,A_pier.jpg,4000,2500,1
31,II,FaceLeft,WFemaleOA14.png,A_beach.jpg,4000,3500,1
32,II,SceneLeft,Bfemale37neutral.png,A_pots.jpg,4000,6000,1
33,IC,,0072YMW.png,A_restkitchen.jpg,4000,3500,1
34,II,FaceLeft,WFemaleOA13.png,A_thanksgiving.jpg,4000,2000,1
35,II,SceneLeft,WFemaleOA19.png,A_smalltown.jpg,4000,3000,2
36,II,FaceLeft,0130YWM.png,A_bridge.jpg,4000,6000,2
37,IC,,WmaleOA3.png,A_store.jpg,4000,3500,2
38,IC,,0223YAM.png,A_house.jpg,4000,2000,2
39,IC,,WFemaleOA21.png,A_walkway.jpg,4000,3000,2
40,II,SceneLeft,OtherFemaleOA11.png,A_park.jpg,4000,4000,2
41,II,SceneLeft,WMaleOA1.png,A_city.jpg,4000,2500,2
42,IC,,0249YAF.png,A_couch.jpg,4000,2000,2
43,II,FaceLeft,Wfemale25-2neutral.png,A_snowhouse.jpg,4000,6000,2
44,IC,,AFemale20neutral.png,A_pool.jpg,4000,2500,2
45,IC,,WFemaleOA20.png,A_conference.jpg,4000,2500,2
46,II,FaceLeft,Hmale22neutral.png,A_palace.jpg,4000,3000,2
47,II,SceneLeft,WMaleOA12.png,A_baseball.jpg,4000,4000,2
48,II,FaceLeft,Bfemale22-4neutral.png,A_pond.jpg,4000,3500,2
49,IC,,OtherMaleOA6.png,A_movies.jpg,4000,4000,2
50,II,SceneLeft,Imale23-1neutral.png,A_dam.jpg,4000,3000,2
51,IC,,WmaleOA7.png,A_restroom.jpg,4000,2000,2
52,IC,,0232YAF.png,A_trainstation.jpg,4000,6000,2
53,II,SceneLeft,OtherFemaleOA12.png,A_hottub.jpg,4000,2000,2
54,IC,,0007YMW.png,A_cathedral.jpg,4000,2500,2
55,II,SceneLeft,OtherFemaleOA1.png,B_mansion.jpg,4000,3500,2
56,IC,,0009YMW.png,A_library.jpg,4000,3000,2
57,IC,,OtherFemaleOA22.png,A_factory.jpg,4000,6000,2
58,IC,,OtherFemaleOA21.png,A_gymnasium.jpg,4000,2000,2
59,II,FaceLeft,OtherMaleOA12.png,A_fouyer.jpg,4000,2500,2
60,II,SceneLeft,OtherFemaleOA15.png,B_city.jpg,4000,4000,2
61,IC,,OtherMaleOA3.png,A_breakroom.jpg,4000,2500,2
62,II,FaceLeft,Ifemale26neutral.png,A_greatwall.jpg,4000,3000,2
63,IC,,OtherFemaleOA23.png,B_restaurant.jpg,4000,3500,2
64,II,SceneLeft,WmaleOA17.png,B_boats.jpg,4000,6000,2
65,II,FaceLeft,Bfemale20-4neutral.png,C_church.jpg,4000,2000,2
66,IC,,0024YML.png,A_hangar.jpg,4000,3500,2
67,II,FaceLeft,0073YMW.png,A_theater.jpg,4000,3500,2
68,IC,,Wfemale34-7neutral.png,A_diner.jpg,4000,4000,2
69,II,FaceLeft,WmaleOA14.png,A_tree.jpg,4000,6000,3
70,II,SceneLeft,ZZBmale44neutral.png,A_rainbow.jpg,4000,2500,3
71,IC,,OtherMaleOA2.png,A_mill.jpg,4000,2000,3
72,II,SceneLeft,OtherMaleOA13.png,A_marsh.jpg,4000,3500,3
73,II,FaceLeft,Wfemale22-2neutral.png,A_construction.jpg,4000,2000,3
74,II,SceneLeft,WFemaleOA15.png,A_classroom.jpg,4000,3500,3
